ticker,date,open,high,low,close,adj_close,volume
,,066570.KS,066570.KS,066570.KS,066570.KS,066570.KS,066570.KS
066570.KS,2025-09-17,77400.0,78800.0,77200.0,77900.0,77900.0,703739
066570.KS,2025-09-18,81300.0,83800.0,80000.0,82100.0,82100.0,3742513
066570.KS,2025-09-22,80100.0,81600.0,79700.0,79700.0,79700.0,641705
066570.KS,2025-09-23,80700.0,80900.0,78700.0,79400.0,79400.0,729541
066570.KS,2025-09-24,79100.0,79100.0,77000.0,78000.0,78000.0,635037
066570.KS,2025-09-25,77500.0,78200.0,77400.0,77900.0,77900.0,424766
066570.KS,2025-09-26,77200.0,77400.0,76000.0,76300.0,76300.0,548336
066570.KS,2025-09-29,77000.0,77700.0,76400.0,76700.0,76700.0,318695
066570.KS,2025-09-30,76500.0,76500.0,75000.0,75600.0,75600.0,846132
066570.KS,2025-10-01,76100.0,76300.0,75000.0,75100.0,75100.0,305645
066570.KS,2025-10-02,75900.0,77000.0,75650.0,76400.0,76400.0,814910
066570.KS,2025-10-10,77600.0,79100.0,76900.0,79000.0,79000.0,955851
066570.KS,2025-10-13,77800.0,81300.0,77000.0,81000.0,81000.0,1378387
066570.KS,2025-10-14,81500.0,83800.0,81100.0,83000.0,83000.0,1742436
066570.KS,2025-10-15,83500.0,84500.0,82600.0,84300.0,84300.0,788790
066570.KS,2025-10-16,83100.0,84400.0,83100.0,83900.0,83900.0,628316
066570.KS,2025-10-17,83300.0,84700.0,83100.0,84200.0,84200.0,556190
066570.KS,2025-10-20,85800.0,91400.0,85700.0,91000.0,91000.0,2111530
066570.KS,2025-10-21,91400.0,91900.0,88600.0,89200.0,89200.0,1062670
066570.KS,2025-10-22,90000.0,90100.0,87600.0,89600.0,89600.0,605113
066570.KS,2025-10-23,88600.0,91200.0,88300.0,90200.0,90200.0,756369
066570.KS,2025-10-24,90400.0,90500.0,86400.0,88000.0,88000.0,1159776
066570.KS,2025-10-27,88200.0,90800.0,88100.0,89000.0,89000.0,579322
066570.KS,2025-10-28,89100.0,89200.0,88100.0,89100.0,89100.0,460279
066570.KS,2025-10-29,89700.0,89700.0,88100.0,88800.0,88800.0,705875
066570.KS,2025-10-30,89100.0,90200.0,87100.0,87600.0,87600.0,752690
066570.KS,2025-10-31,86800.0,88500.0,86300.0,87600.0,87600.0,1104075
066570.KS,2025-11-03,88700.0,90200.0,87900.0,88600.0,88600.0,927485
066570.KS,2025-11-04,0.0,0.0,0.0,88500.0,88500.0,0
