date,open,high,low,close,adj_close,volume
,ESLT,ESLT,ESLT,ESLT,ESLT,ESLT
2025-10-23,477.9800109863281,489.6099853515625,477.9800109863281,488.1600036621094,488.1600036621094,76300
2025-10-24,490.9100036621094,493.5199890136719,486.0899963378906,491.7099914550781,491.7099914550781,83300
2025-10-27,495.0,496.0,481.07000732421875,487.010009765625,487.010009765625,98500
2025-10-28,482.0,482.42999267578125,472.7900085449219,474.5899963378906,474.5899963378906,89200
2025-10-29,481.75,482.0,473.70001220703125,477.9700012207031,477.9700012207031,127500
2025-10-30,473.45001220703125,481.17999267578125,471.5799865722656,472.3399963378906,472.3399963378906,130200
2025-10-31,472.0,480.0,471.0299987792969,476.75,476.75,105700
2025-11-03,482.6300048828125,482.6300048828125,477.67999267578125,480.989990234375,480.989990234375,75900
2025-11-04,473.4800109863281,475.760009765625,467.2699890136719,473.07000732421875,473.07000732421875,76200
2025-11-05,469.8399963378906,470.30999755859375,465.0,465.0899963378906,465.0899963378906,69000
2025-11-06,474.29998779296875,475.0,463.1000061035156,463.4700012207031,463.4700012207031,93500
2025-11-07,463.2799987792969,470.0,456.57000732421875,468.57000732421875,468.57000732421875,55600
2025-11-10,479.75,487.6000061035156,477.510009765625,486.25,486.25,85300
2025-11-11,485.5,487.75,479.32000732421875,485.0400085449219,485.0400085449219,56500
2025-11-12,490.0,491.0799865722656,480.9700012207031,483.1300048828125,483.1300048828125,115700
2025-11-13,485.2799987792969,485.2799987792969,471.0,471.5899963378906,471.5899963378906,79700
2025-11-14,465.5,477.0,463.0,473.0299987792969,473.0299987792969,69800
2025-11-17,516.47998046875,517.0,503.2300109863281,503.2300109863281,503.2300109863281,167100
2025-11-18,523.0,523.0,489.989990234375,504.04998779296875,504.04998779296875,204800
2025-11-19,511.8900146484375,511.8900146484375,475.04998779296875,481.3299865722656,481.3299865722656,174600
2025-11-20,486.3299865722656,490.0,467.19000244140625,468.4100036621094,468.4100036621094,80300
2025-11-21,463.30999755859375,473.989990234375,457.2699890136719,473.7099914550781,473.7099914550781,102700
2025-11-24,470.4700012207031,475.54998779296875,466.5,473.0,473.0,119000
2025-11-25,473.0899963378906,473.4800109863281,458.54998779296875,466.1700134277344,466.1700134277344,98400
2025-11-26,471.70001220703125,473.4800109863281,464.6499938964844,469.6700134277344,469.6700134277344,70600
2025-11-28,469.0,470.7300109863281,463.6600036621094,469.7900085449219,469.7900085449219,24300
2025-12-01,465.3599853515625,465.9599914550781,453.0,454.95001220703125,454.95001220703125,114900
2025-12-02,462.29998779296875,469.0,462.04998779296875,465.6600036621094,465.6600036621094,83300
2025-12-03,474.8599853515625,480.4100036621094,470.17999267578125,480.3299865722656,480.3299865722656,66400
2025-12-04,480.3299865722656,487.4599914550781,479.2200012207031,485.43499755859375,485.43499755859375,30811
